site,year,month,day,fin,blue,ship,wind
N,2016,5,2,NaN,NaN,NaN,NaN
N,2016,5,3,NaN,NaN,NaN,NaN
N,2016,5,4,NaN,NaN,NaN,NaN
N,2016,5,5,NaN,NaN,NaN,NaN
N,2016,5,6,NaN,NaN,NaN,NaN
N,2016,5,7,NaN,NaN,NaN,NaN
N,2016,5,8,NaN,NaN,NaN,NaN
N,2016,5,9,NaN,NaN,NaN,NaN
N,2016,5,10,NaN,NaN,NaN,NaN
N,2016,5,11,NaN,NaN,NaN,NaN
N,2016,5,12,NaN,NaN,NaN,NaN
N,2016,5,13,NaN,NaN,NaN,NaN
N,2016,5,14,NaN,NaN,NaN,NaN
N,2016,5,15,NaN,NaN,NaN,NaN
N,2016,5,16,NaN,NaN,NaN,NaN
N,2016,5,17,NaN,NaN,NaN,NaN
N,2016,5,18,NaN,NaN,NaN,NaN
N,2016,5,19,NaN,NaN,NaN,NaN
N,2016,5,20,NaN,NaN,NaN,NaN
N,2016,5,21,NaN,NaN,NaN,NaN
N,2016,5,22,NaN,NaN,NaN,NaN
N,2016,5,23,NaN,NaN,NaN,NaN
N,2016,5,24,NaN,NaN,NaN,NaN
N,2016,5,25,NaN,NaN,NaN,NaN
N,2016,5,26,NaN,NaN,NaN,NaN
N,2016,5,27,NaN,NaN,NaN,NaN
N,2016,5,28,NaN,NaN,NaN,NaN
N,2016,5,29,NaN,NaN,NaN,NaN
N,2016,5,30,NaN,NaN,NaN,NaN
N,2016,5,31,NaN,NaN,NaN,NaN
N,2016,6,1,NaN,NaN,NaN,NaN
N,2016,6,2,NaN,NaN,NaN,NaN
N,2016,6,3,NaN,NaN,NaN,NaN
N,2016,6,4,NaN,NaN,NaN,NaN
N,2016,6,5,NaN,NaN,NaN,NaN
N,2016,6,6,NaN,NaN,NaN,NaN
N,2016,6,7,NaN,NaN,NaN,NaN
N,2016,6,8,NaN,NaN,NaN,NaN
N,2016,6,9,NaN,NaN,NaN,NaN
N,2016,6,10,NaN,NaN,NaN,NaN
N,2016,6,11,NaN,NaN,NaN,NaN
N,2016,6,12,NaN,NaN,NaN,NaN
N,2016,6,13,NaN,NaN,NaN,NaN
N,2016,6,14,NaN,NaN,NaN,NaN
