site,year,month,day,fin,blue,ship,wind
N,2016,6,15,NaN,NaN,NaN,NaN
N,2016,6,16,NaN,NaN,NaN,NaN
N,2016,6,17,NaN,NaN,NaN,NaN
N,2016,6,18,NaN,NaN,NaN,NaN
N,2016,6,19,NaN,NaN,NaN,NaN
N,2016,6,20,NaN,NaN,NaN,NaN
N,2016,6,21,NaN,NaN,NaN,NaN
N,2016,6,22,NaN,NaN,NaN,NaN
N,2016,6,23,NaN,NaN,NaN,NaN
N,2016,6,24,NaN,NaN,NaN,NaN
N,2016,6,25,NaN,NaN,NaN,NaN
N,2016,6,26,NaN,NaN,NaN,NaN
N,2016,6,27,NaN,NaN,NaN,NaN
N,2016,6,28,NaN,NaN,NaN,NaN
N,2016,6,29,NaN,NaN,NaN,NaN
N,2016,6,30,NaN,NaN,NaN,NaN
N,2016,7,1,NaN,NaN,NaN,NaN
N,2016,7,2,NaN,NaN,NaN,NaN
N,2016,7,3,NaN,NaN,NaN,NaN
N,2016,7,4,NaN,NaN,NaN,NaN
N,2016,7,5,NaN,NaN,NaN,NaN
N,2016,7,6,67.58,63.60,62.67,59.13
N,2016,7,7,72.39,70.48,68.79,57.40
N,2016,7,8,69.71,71.72,69.61,58.41
N,2016,7,9,69.75,71.98,70.27,58.22
N,2016,7,10,68.07,70.49,69.52,58.71
N,2016,7,11,69.92,72.68,71.18,61.85
N,2016,7,12,70.08,73.38,70.86,55.27
N,2016,7,13,73.98,74.46,72.05,52.83
N,2016,7,14,72.31,75.07,73.48,54.75
N,2016,7,15,70.00,71.59,69.78,54.57
N,2016,7,16,72.36,76.45,73.36,52.13
N,2016,7,17,69.39,73.11,73.00,51.29
N,2016,7,18,70.96,74.80,71.90,49.80
N,2016,7,19,71.25,74.96,72.46,55.89
N,2016,7,20,68.35,71.18,70.26,60.11
N,2016,7,21,70.92,73.21,70.64,60.42
N,2016,7,22,72.31,76.63,74.91,60.31
N,2016,7,23,72.87,71.76,70.16,58.53
N,2016,7,24,73.25,72.23,70.63,52.59
N,2016,7,25,67.85,70.60,68.49,47.70
N,2016,7,26,68.61,73.13,70.83,54.78
N,2016,7,27,72.42,76.09,74.13,55.40
N,2016,7,28,67.43,71.72,70.95,57.26
