"","BASIN","PROG_CODE","SITE_NAME","SITE_LOCT","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N","AMMONIA","CHLORIDE","DISOXY","NITRATE","NITRITE","PHFIELD","SPEC_COND","TDS","PHOSPHU","TSS","KJELDAHL","ATRAZIN","CHLOROPH","FECCOLI"
"1","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/1/03",1259,38.77674,-98.854719,10260006,32.1715856481481,2003,0.368,0.1,797.52,12.2,0.1,0.05,8.3,3248,2027.231,0.262,10,0.293,NA,NA,NA
"2","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/23/04",1312,38.77674,-98.854719,10260006,116.180613425926,2004,1.961,0.1,432.73,17,1.04,0.21,8.2,1984,1287.992,0.33,12,0.711,0.3,NA,NA
"3","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/26/04",1328,38.77674,-98.854719,10260006,179.191724537037,2004,1.308,0.202,668.34,9.9,0.1,0.05,8.1,2751,1804.558,0.327,39,1.233,NA,NA,NA
"4","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/28/04",1353,38.77674,-98.854719,10260006,242.209085648148,2004,0.975,0.1,515.39,8.7,0.1,0.05,8.4,2184,1381.319,0.276,34,0.9,1.2,NA,NA
"5","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/23/04",1325,38.77674,-98.854719,10260006,298.189641203704,2004,1.049,0.1,511.72,8.6,0.1,0.05,8.4,2472,1478.744,0.212,78,0.974,NA,NA,NA
"6","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/25/04",1305,38.77674,-98.854719,10260006,361.175752314815,2004,0.688,0.1,749.43,10.2,0.1,0.05,8,3183,1910.023,0.093,26,0.613,0.3,NA,NA
"7","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/20/04",1321,38.77674,-98.854719,10260006,417.186863425926,2004,1.07,0.1,658.58,17.6,0.29,0.05,8.5,2830,1731.892,0.353,14,0.755,NA,NA,NA
"8","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/24/05",1304,38.77674,-98.854719,10260006,452.17505787037,2005,2.054,0.1,288.84,14.5,1.11,0.09,8.2,1792,1056.102,0.8,25,0.854,0.3,NA,NA
"9","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/28/05",1341,38.77674,-98.854719,10260006,515.200752314815,2005,1.413,0.1,188.66,9.6,0.27,0.05,8.3,1309,789.888,0.325,88,1.118,NA,NA,NA
"10","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/23/05",1316,38.77674,-98.854719,10260006,571.183391203704,2005,0.713,0.1,840.64,8.7,0.1,0.05,8,3433,2219.445,0.144,46,0.638,0.3,NA,NA
"11","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/25/05",1201,38.77674,-98.854719,10260006,634.13130787037,2005,1.013,0.1,1392.38,9.7,0.1,0.05,7.8,5268,3099.831,0.147,32,0.938,NA,NA,NA
"12","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/26/05",1254,38.77674,-98.854719,10260006,697.168113425926,2005,0.458,0.1,1042.08,9.9,0.1,0.05,7.8,4608,2525,0.076,25,0.383,0.3,NA,NA
"13","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/20/06",1253,38.77674,-98.854719,10260006,844.167418981481,2006,1.95,0.1,1134.26,16.5,0.1,0.05,8.4,4447,2626.487,0.591,44,1.875,0.3,NA,NA
"14","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/24/06",1356,38.77674,-98.854719,10260006,907.211168981481,2006,1.411,0.1,1180.91,8,0.1,0.05,7.8,4228,2650.254,0.305,58,1.336,NA,NA,NA
"15","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/26/06",1532,38.77674,-98.854719,10260006,970.277835648148,2006,1.665,0.1,861.53,8.4,0.1,0.05,8.3,3281,2046.743,0.275,82,1.59,1.5,NA,NA
"16","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/28/06",1335,38.77674,-98.854719,10260006,1033.19658564815,2006,1.201,0.1,108.65,7.2,0.1,0.05,7.8,889.2,580.488,0.303,92,1.126,NA,NA,NA
"17","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/23/06",1324,38.77674,-98.854719,10260006,1089.18894675926,2006,0.583,0.1,1159.2,10.7,0.1,0.05,7.7,4589,2733.294,0.036,13,0.508,0.3,NA,NA
"18","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/18/06",1153,38.77674,-98.854719,10260006,1145.12575231481,2006,0.498,0.1,1025.44,12,0.1,0.05,7.8,3810,2497.498,0.098,10,0.423,NA,NA,NA
"19","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/29/07",1358,38.77674,-98.854719,10260006,1187.21255787037,2007,2.558,0.1,651.28,18.9,1.69,0.05,8.8,2659,1686.839,0.656,10,0.843,0.44,NA,NA
"20","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/26/07",1318,38.77674,-98.854719,10260006,1243.18478009259,2007,4.806,0.246,78.45,6.9,0.71,0.05,7.7,635.4,504.032,1.119,776,4.071,NA,NA,NA
"21","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/21/07",1514,38.77674,-98.854719,10260006,1299.26533564815,2007,1.351,0.1,522.32,8.7,0.12,0.05,8,2465,1586.999,0.244,53,1.206,0.3,NA,NA
"22","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/30/07",1258,38.77674,-98.854719,10260006,1369.1708912037,2007,2.383,0.1,256.95,7.5,0.1,0.05,7.7,1566,1026.941,0.687,412,2.308,NA,NA,NA
"23","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/24/07",1351,38.77674,-98.854719,10260006,1425.20769675926,2007,1.177,0.1,633.88,9.09,0.1,0.05,8.1,3033,1868.622,0.199,61,1.102,0.3,NA,NA
"24","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/26/07",1335,38.77674,-98.854719,10260006,1488.19658564815,2007,0.782,0.1,545.38,13.23,0.21,0.05,7.9,3002,1715.135,0.182,10,0.547,NA,NA,NA
"25","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/25/08",1311,38.77674,-98.854719,10260006,1579.17991898148,2008,1.281,0.1,295.03,13.05,0.51,0.05,7.9,1649,1040.233,0.271,28,0.746,NA,NA,NA
"26","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/28/08",1325,38.77674,-98.854719,10260006,1642.1896412037,2008,1.858,0.1,410.3,11.88,0.1,0.05,7.9,2188,1366.432,0.316,79,1.783,0.3,NA,NA
"27","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/23/08",1143,38.77674,-98.854719,10260006,1698.11880787037,2008,1.529,0.1,393.47,9.24,0.1,0.05,8,2091,1394.853,0.247,95,1.454,NA,NA,NA
"28","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/25/08",1308,38.77674,-98.854719,10260006,1761.17783564815,2008,2.523,0.1,106.31,8.19,0.3,0.05,7.4,829.5,561.873,0.718,328,2.198,0.3,NA,NA
"29","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/27/08",1319,38.77674,-98.854719,10260006,1824.18547453704,2008,1.863,0.1,127.95,10.64,0.65,0.05,7.9,998.4,639.434,0.473,115,1.188,NA,NA,NA
"30","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/15/08",1131,38.77674,-98.854719,10260006,1873.11047453704,2008,1.027,0.1,545.18,12.9,0.41,0.05,7.8,2791,1746.465,0.133,12,0.592,0.3,NA,NA
"31","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/23/09",1303,38.77674,-98.854719,10260006,1971.17436342593,2009,1.492,0.1,460.9,11.87,0.386,0.05,8.2,2551,1515.297,0.202,15,1.081,NA,NA,NA
"32","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/18/09",1302,38.77674,-98.854719,10260006,2027.17366898148,2009,1.762,0.1,457.464,12.43,0.1,0.05,8.1,2444,1483.788,0.268,85,1.687,0.3,NA,NA
"33","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/22/09",1048,38.77674,-98.854719,10260006,2154.08061342593,2009,0.989,0.1,629.151,8.7,0.1,0.05,7.7,2845,1701.396,0.121,16,0.914,0.3,NA,NA
"34","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/30/09",1238,38.77674,-98.854719,10260006,2223.15700231481,2009,2.094,0.1,517.221,14.48,1.318,0.111,8.3,2548,1557.089,0.434,10,0.665,NA,NA,NA
"35","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/15/10",1333,38.77674,-98.854719,10260006,2300.19519675926,2010,2.084,0.179,479.486,11.48,1.128,0.135,7.5,2521,1532.413,0.304,18,0.821,0.3,NA,NA
"36","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/17/10",1345,38.77674,-98.854719,10260006,2391.20353009259,2010,3.009,0.1,337.247,12.02,1.401,0.093,8,1888,1176.601,0.425,90,1.515,NA,NA,NA
"37","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/16/10",1230,38.77674,-98.854719,10260006,2482.15144675926,2010,1.209,0.1,763.869,9.79,0.1,0.05,7.9,3361,1951.328,0.184,46,1.134,0.3,NA,NA
"38","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/15/10",1445,38.77674,-98.854719,10260006,2573.24519675926,2010,0.87,0.1,439.572,11.89,0.315,0.05,8.1,2362,1343.655,0.209,17,0.53,NA,NA,NA
"39","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/21/11",1335,38.77674,-98.854719,10260006,2699.19658564815,2011,1.6112,0.1,439.6739,15.37,0.3862,0.05,8.5,2393,1407.4633,0.393,62,1.2,0.3,NA,NA
"40","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/20/11",1349,38.77674,-98.854719,10260006,2790.20630787037,2011,1.249,0.1,551.8846,8.59,0.1,0.05,8.1,2751,1613.8574,0.238,59,1.174,NA,NA,NA
"41","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/19/11",1447,38.77674,-98.854719,10260006,2881.24658564815,2011,0.589,0.1,1379.1238,11.57,0.1,0.05,8.1,4969,3152.3603,0.107,10,0.514,0.3,NA,NA
"42","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/5/11",1426,38.77674,-98.854719,10260006,2958.23200231481,2011,0.32,0.1,691.7669,14.07,0.1,0.05,7.8,3136,1882.5806,0.215,11,0.245,NA,NA,NA
"43","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/23/12",1059,38.77674,-98.854719,10260006,3007.08825231481,2012,3.6972,2.276,739.1627,16.03,0.6759,0.1173,8,3065,1979.7597,0.369,10,2.904,NA,NA,NA
"44","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/9/12",1321,38.77674,-98.854719,10260006,3084.18686342593,2012,2.4005,0.1,528.234,10.85,0.4936,0.1729,8.3,2561,1507.63,0.49,85,1.734,0.3,NA,NA
"45","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/23/12",1353,38.77674,-98.854719,10260006,3189.20908564815,2012,0.906,0.1,1446.5415,11.68,0.1,0.05,7.9,5238,3256.7633,0.103,11,0.831,NA,NA,NA
"46","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/22/12",1539,38.77674,-98.854719,10260006,3280.28269675926,2012,0.545,0.1,1045.2152,8.33,0.1,0.05,7.6,4333,2503.858,0.042,10,0.47,0.3,NA,NA
"47","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/22/13",1005,38.77674,-98.854719,10260006,3492.05075231481,2013,0.981,0.1,940.7815,9.02,0.1,0.05,7.9,3907,2296.0589,0.123,26,0.906,0.3,NA,NA
"48","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/21/13",1024,38.77674,-98.854719,10260006,3583.06394675926,2013,1.092,0.1,709.1572,7.51,0.1,0.05,7.8,3203,1861.2219,0.201,37,1.017,0.3,NA,NA
"49","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/20/13",959,38.77674,-98.854719,10260006,3674.04658564815,2013,0.554,0.1,933.35,9.05,0.1,0.05,7.7,4087,2367.9884,0.056,10,0.479,NA,NA,NA
"50","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/17/14",1322,38.77674,-98.854719,10260006,3791.18755787037,2014,0.875,0.1,1000,12,0.1,0.05,8.1,4200,2500,0.15,10,0.8,NA,NA,NA
"51","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/23/14",1226,38.77674,-98.854719,10260006,3889.14866898148,2014,7.15,0.29,18,4,0.63,0.12,7.3,250,360,1.9,1200,6.4,4.1,NA,NA
"52","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/22/14",1301,38.77674,-98.854719,10260006,3980.17297453704,2014,1.005,0.1,680,8.8,0.21,0.05,7.8,3000,1800,0.17,44,0.77,0.39,NA,NA
"53","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/15/14",1250,38.77674,-98.854719,10260006,4064.16533564815,2014,1.51,0.1,820,16,0.59,0.35,8,3500,2100,0.085,10,0.57,NA,NA,NA
"54","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/26/15",1306,38.77674,-98.854719,10260006,4106.17644675926,2015,2.85,0.1,690,18,1.8,0.31,8.2,3100,1800,0.29,10,0.74,0.3,NA,NA
"55","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/6/15",1248,38.77674,-98.854719,10260006,4176.16394675926,2015,1.775,0.1,1100,9.8,0.1,0.05,8,4600,2700,0.3,35,1.7,NA,NA,NA
"56","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/6/15",1310,38.77674,-98.854719,10260006,4267.17922453704,2015,1.735,0.1,1600,7.5,0.21,0.05,8,6100,3500,0.3,61,1.5,0.3,NA,NA
"57","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/5/15",1353,38.77674,-98.854719,10260006,4358.20908564815,2015,0.805,0.1,1200,10,0.19,0.05,7.7,4700,2800,0.057,14,0.59,0.3,NA,NA
"58","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/15/16",1302,38.77674,-98.854719,10260006,4491.17366898148,2016,1.225,0.1,920,21,0.33,0.05,8.3,3900,2300,0.084,10,0.87,NA,NA,NA
"59","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/23/16",1503,38.77674,-98.854719,10260006,4589.25769675926,2016,1.675,0.1,440,13.9,0.25,0.05,8.1,2600,1500,0.25,35,1.4,0.9,NA,NA
"60","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/29/16",1410,38.77674,-98.854719,10260006,4687.2208912037,2016,1.175,0.1,860,8.8,0.1,0.05,7.9,3800,2200,0.19,46,1.1,NA,NA,NA
"61","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/7/16",1425,38.77674,-98.854719,10260006,4757.23130787037,2016,0.935,0.1,690,8.6,0.1,0.05,7.8,3200,1900,0.21,64,0.86,0.3,NA,NA
"62","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/8/17",943,38.77674,-98.854719,10260006,4878.03547453704,2017,1.265,0.1,580,12,0.33,0.05,7.8,2900,1700,0.28,20,0.91,0.3,NA,NA
"63","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/21/17",908,38.77674,-98.854719,10260006,4983.01116898148,2017,2.225,0.1,220,7.2,0.6,0.05,7.6,1400,860,0.47,130,1.6,12,NA,NA
"64","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/20/17",950,38.77674,-98.854719,10260006,5074.04033564815,2017,0.685,0.1,1400,7.3,0.1,0.05,7.9,5300,3100,0.088,10,0.61,0.3,NA,NA
"65","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/13/17",916,38.77674,-98.854719,10260006,5158.01672453704,2017,1.965,0.1,430,12,1.3,0.05,8,2400,1400,0.2,10,0.64,NA,NA,NA
"66","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/29/18",1228,38.77674,-98.854719,10260006,5205.15005787037,2018,1.795,0.1,470,13,0.77,0.05,7.9,2500,1500,0.22,30,1,NA,NA,NA
"67","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/23/18",1409,38.77674,-98.854719,10260006,5289.22019675926,2018,0.785,0.1,460,12,0.1,0.05,8.2,2500,1400,0.2,50,0.71,0.3,NA,NA
"68","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/9/18",1242,38.77674,-98.854719,10260006,5366.15978009259,2018,6.54,0.1,270,6.1,4.2,0.14,7.7,540,890,0.9,370,2.2,0.74,NA,NA
"69","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/8/18",1231,38.77674,-98.854719,10260006,5457.1521412037,2018,4.252,0.1,93,8.5,1.5,0.052,7.7,720,530,0.78,530,2.7,NA,NA,NA
"70","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/6/19",1230,38.77674,-98.854719,10260006,5667.15144675926,2019,1.505,0.1,290,9.1,0.67,0.05,8.1,2000,1200,0.25,17,0.81,NA,NA,NA
"71","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/5/19",1314,38.77674,-98.854719,10260006,5758.18200231481,2019,0.545,0.1,470,8.9,0.1,0.05,8.1,2500,1500,0.11,130,0.47,0.3,NA,NA
"72","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/18/19",1240,38.77674,-98.854719,10260006,5863.1583912037,2019,1.605,0.1,300,12,0.98,0.05,8.1,1900,1300,0.071,10,0.6,0.3,NA,NA
"73","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/23/20",844,38.77674,-98.854719,10260006,6172.99450231481,2020,1.155,0.1,390,NA,0.55,0.05,7.7,2000,1400,0.25,27,0.58,NA,NA,NA
"74","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/16/20",1127,38.77674,-98.854719,10260006,6257.10769675926,2020,1.815,0.1,340,NA,1.4,0.05,7.8,2100,1300,0.047,10,0.39,0.3,NA,NA
"75","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/11/21",1129,38.77674,-98.854719,10260006,6283.10908564815,2021,2.265,0.1,300,NA,1.6,0.05,7.8,1900,1249,0.047,10,0.64,0.3,NA,NA
"76","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/19/21",1047,38.77674,-98.854719,10260006,6381.07991898148,2021,0.975,0.1,290,NA,0.24,0.05,8.2,1800,1300,0.12,72,0.71,NA,NA,NA
"77","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/19/21",1024,38.77674,-98.854719,10260006,6472.06394675926,2021,3.425,0.11,1,NA,1.1,0.05,7.7,900,5700,0.32,300,2.3,2.7,NA,NA
"78","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/25/21",1100,38.77674,-98.854719,10260006,6570.08894675926,2021,1.345,0.1,400,NA,0.9,0.05,7.9,2400,1500,0.14,36,0.42,NA,NA,NA
"79","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/21/22",944,38.77674,-98.854719,10260006,6689.03616898148,2022,1.175,0.1,350,NA,0.51,0.05,7.9,2000,1400,0.045,10,0.64,0.3,NA,NA
"80","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/16/22",1152,38.77674,-98.854719,10260006,6773.12505787037,2022,1.875,0.1,350,NA,0.1,0.05,8.2,2000,1500,0.33,96,1.8,0.3,NA,NA
"81","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/8/22",1330,38.77674,-98.854719,10260006,6857.19311342593,2022,0.425,0.1,1000,NA,0.1,0.05,8.3,3800,2700,0.079,32,0.35,NA,NA,NA
"82","SMOKY-SALINE RIVER BASIN","SC","SC007","","11/14/22",1328,38.77674,-98.854719,10260006,6955.19172453704,2022,0.605,0.1,710,NA,0.1,0.05,8,2800,1800,0.098,38,0.53,0.3,NA,NA
"83","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/13/23",1212,38.77674,-98.854719,10260006,7074.13894675926,2023,0.505,0.1,460,NA,0.1,0.05,8.1,2200,1400,0.068,20,0.43,0.3,NA,NA
"84","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/12/23",1425,38.77674,-98.854719,10260006,7165.23130787037,2023,0.685,0.15,260,NA,0.1,0.05,8.4,1600,1100,0.12,76,0.61,NA,NA,NA
"85","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/11/23",1048,38.77674,-98.854719,10260006,7256.08061342593,2023,0.445,0.1,1000,NA,0.1,0.05,7.8,3800,2500,0.07,28,0.37,0.3,NA,NA
"86","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/11/23",1114,38.77674,-98.854719,10260006,7347.09866898148,2023,0.535,0.1,550,NA,0.1,0.05,7.9,2500,1600,0.078,14,0.46,0.3,NA,NA
"87","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/29/24",1035,38.77674,-98.854719,10260006,7396.07158564815,2024,0.815,0.1,460,NA,0.35,0.05,7.8,2100,1400,0.077,22,0.44,0.3,NA,NA
"88","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/22/24",1240,38.77674,-98.854719,10260006,7480.1583912037,2024,0.445,0.1,580,NA,0.1,0.05,8.1,2600,1800,0.083,38,0.37,0.3,NA,NA
"89","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/22/24",1252,38.77674,-98.854719,10260006,7571.16672453704,2024,1.175,0.1,250,NA,0.1,0.05,8.2,1300,840,0.14,24,1.1,NA,NA,NA
"90","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/21/24",1130,38.77674,-98.854719,10260006,7662.10978009259,2024,0.625,0.1,620,NA,0.1,0.05,7.7,2800,1700,0.062,12,0.55,0.3,NA,NA
"91","SMOKY-SALINE RIVER BASIN","SC","SC011","","12/3/03",1029,38.970648,-98.815197,10260009,34.0674189814815,2003,0.391,0.1,1595.12,10.7,0.1,0.05,8.1,6351,4059.924,0.02,10,0.316,NA,2.1,NA
"92","SMOKY-SALINE RIVER BASIN","SC","SC011","","2/25/04",1003,38.970648,-98.815197,10260009,118.049363425926,2004,0.375,0.1,754.9,12,0.1,0.05,7.8,3369,2264.292,0.033,21,0.3,0.3,2.4,NA
"93","SMOKY-SALINE RIVER BASIN","SC","SC011","","2/25/04",1008,38.970648,-98.815197,10260009,118.052835648148,2004,0.34,0.1,747.51,12.1,0.1,0.05,7.8,3418,2309.764,0.022,20,0.265,0.3,NA,NA
"94","SMOKY-SALINE RIVER BASIN","SC","SC011","","4/28/04",1041,38.970648,-98.815197,10260009,181.075752314815,2004,0.931,0.1,1131.71,9.1,0.1,0.05,7.8,4684,3199.449,0.058,23,0.856,NA,8.2,NA
"95","SMOKY-SALINE RIVER BASIN","SC","SC011","","6/30/04",1027,38.970648,-98.815197,10260009,244.066030092593,2004,0.785,0.1,1211.3,8,0.1,0.05,7.9,5064,3262.754,0.115,47,0.71,0.3,15.85,NA
"96","SMOKY-SALINE RIVER BASIN","SC","SC011","","8/25/04",1001,38.970648,-98.815197,10260009,300.047974537037,2004,0.831,0.1,829.35,7.4,0.1,0.05,8.2,3979,2534.137,0.062,81,0.756,NA,16.35,NA
"97","SMOKY-SALINE RIVER BASIN","SC","SC011","","10/27/04",1055,38.970648,-98.815197,10260009,363.085474537037,2004,0.644,0.1,1139.03,8,0.1,0.05,7.9,4745,3148.484,0.048,24,0.569,0.3,NA,NA
"98","SMOKY-SALINE RIVER BASIN","SC","SC011","","12/22/04",1057,38.970648,-98.815197,10260009,419.086863425926,2004,0.478,0.1,1038.86,13.3,0.1,0.05,7.8,4534,3015.896,0.023,21,0.403,NA,NA,NA
"99","SMOKY-SALINE RIVER BASIN","SC","SC011","","1/24/05",1204,38.970648,-98.815197,10260009,452.133391203704,2005,1.742,0.162,216.56,11.9,0.1,0.05,7.8,1526,956.592,0.17,66,1.642,NA,NA,NA
"100","SMOKY-SALINE RIVER BASIN","SC","SC011","","3/28/05",1244,38.970648,-98.815197,10260009,515.161168981482,2005,0.636,0.1,310.61,11.1,0.1,0.05,8.3,2196,1407.009,0.064,86,0.561,0.3,NA,NA
"101","SMOKY-SALINE RIVER BASIN","SC","SC011","","3/28/05",1249,38.970648,-98.815197,10260009,515.164641203704,2005,0.614,0.1,293.93,10.8,0.1,0.05,8.3,2167,1346.795,0.041,64,0.539,0.3,NA,NA
"102","SMOKY-SALINE RIVER BASIN","SC","SC011","","5/23/05",1200,38.970648,-98.815197,10260009,571.130613425926,2005,0.328,0.1,829.53,8.8,0.1,0.05,7.8,3801,2502.2,0.025,30,0.253,NA,NA,NA
"103","SMOKY-SALINE RIVER BASIN","SC","SC011","","7/25/05",1103,38.970648,-98.815197,10260009,634.091030092593,2005,1.5,0.1,1725.02,9.5,0.1,0.05,8.1,6513,4206.526,0.078,74,1.425,0.3,NA,NA
"104","SMOKY-SALINE RIVER BASIN","SC","SC011","","9/26/05",1144,38.970648,-98.815197,10260009,697.119502314815,2005,0.413,0.1,1940.48,10.3,0.1,0.05,7.5,8174,4930.922,0.02,20,0.338,NA,NA,NA
"105","SMOKY-SALINE RIVER BASIN","SC","SC011","","2/22/06",915,38.970648,-98.815197,10260009,846.016030092593,2006,0.285,0.1,1816.34,11.9,0.1,0.05,7.5,7380,4581.757,0.02,26,0.21,NA,NA,NA
"106","SMOKY-SALINE RIVER BASIN","SC","SC011","","4/26/06",1012,38.970648,-98.815197,10260009,909.055613425926,2006,0.409,0.1,1554.85,11.4,0.1,0.05,7.9,5735,3743.628,0.02,10,0.334,0.3,NA,NA
"107","SMOKY-SALINE RIVER BASIN","SC","SC011","","6/28/06",842,38.970648,-98.815197,10260009,971.993113425926,2006,1.169,0.1,1917.13,5.9,0.1,0.05,7.4,7088,4649.709,0.089,64,1.094,NA,NA,NA
"108","SMOKY-SALINE RIVER BASIN","SC","SC011","","8/30/06",1040,38.970648,-98.815197,10260009,1035.07505787037,2006,1.342,0.1,1919.36,5.2,0.1,0.05,7.4,7126,4535.988,0.054,79,1.267,0.3,NA,NA
"109","SMOKY-SALINE RIVER BASIN","SC","SC011","","8/30/06",1045,38.970648,-98.815197,10260009,1035.07853009259,2006,1.139,0.1,1952.67,5.2,0.1,0.05,7.4,7196,4522.745,0.059,49,1.064,0.3,NA,NA
"110","SMOKY-SALINE RIVER BASIN","SC","SC011","","10/25/06",953,38.970648,-98.815197,10260009,1091.04241898148,2006,0.828,0.263,2239.8,9.2,0.1,0.05,7.2,8757,5236.637,0.031,40,0.753,NA,NA,NA
"111","SMOKY-SALINE RIVER BASIN","SC","SC011","","12/19/06",1514,38.970648,-98.815197,10260009,1146.26533564815,2006,0.506,0.1,2578.71,11.7,0.1,0.05,7.8,8957,5911.72,0.02,15,0.431,0.3,NA,NA
"112","SMOKY-SALINE RIVER BASIN","SC","SC011","","1/31/07",1018,38.970648,-98.815197,10260009,1189.05978009259,2007,0.436,0.1,604.31,12.4,0.1,0.05,8.2,2913,1973.362,0.02,13,0.361,NA,NA,NA
"113","SMOKY-SALINE RIVER BASIN","SC","SC011","","3/28/07",937,38.970648,-98.815197,10260009,1245.03130787037,2007,1.322,0.1,330.93,7.9,0.1,0.05,7.5,1840,1185.506,0.306,330,1.247,0.3,NA,NA
"114","SMOKY-SALINE RIVER BASIN","SC","SC011","","5/23/07",956,38.970648,-98.815197,10260009,1301.04450231481,2007,0.84,0.1,518.71,7.9,0.1,0.05,7.9,2657,1766.272,0.087,64,0.765,NA,NA,NA
"115","SMOKY-SALINE RIVER BASIN","SC","SC011","","8/1/07",901,38.970648,-98.815197,10260009,1371.00630787037,2007,2.103,0.1,349.36,6.39,0.34,0.05,7.7,1896,1267.131,0.204,320,1.738,1,NA,NA
"116","SMOKY-SALINE RIVER BASIN","SC","SC011","","9/26/07",957,38.970648,-98.815197,10260009,1427.04519675926,2007,0.953,0.1,714.86,8.77,0.1,0.05,7.7,3672,2338.307,0.097,89,0.878,NA,NA,NA
