CaseUID,Province,Harvest,date_harvested,year_harvested,time,easting,northing,Species,Sex,CWD_Status,e_min,e_aver,Dtown,Driver,Dstreams,Droad,rugg3,rugg6,rugg12,Road3km,Stream3km,Pcover3,Pagri3,Pgrass3,Popen3,Road6km,Stream6km,Pcover6,Pagri6,Pgrass6,Popen6,Road12km,Stream12km,Pcover12,Pagri12,Pgrass12,Popen12,m_aver,m_min,w_aver,w_min
22883,Alberta,Hunter,27/11/2009,2009,8,493700,5851000,white-tailed deer,male,negative,10.45801128,94.36123616,14.2004,1.414209,781.025024,100,5.85327,16.3679,26.6436,3165.911147,379.713186,0.908163265,0,0.093693694,0.091836735,5119.02916,1917.86858,0.830508475,0,0.162940735,0.163641818,9928.506366,7308.906429,0.736443411,0,0.203868936,0.204605115,1.27156796,0.414900471,3.161211768,0.376742368
22887,Alberta,Hunter,21/11/2009,2009,8,449168.277,5873652.61,white-tailed deer,male,negative,50.77384286,138.3877589,8.802269,46.157699,1746.420043,608.276,5.24798,6.45266,7.47583,3848.001146,0,0.038069544,0.941846523,0.00748503,0.949340528,7091.868268,0,0.036853933,0.945468165,0.003896299,0.949363296,10812.28725,529.20938,0.067056267,0.91323893,0.004724055,0.918108938,1.874410269,1.524930952,5.838977475,4.984275658
22888,Alberta,Hunter,14/11/2009,2009,8,465657.972,5812664.334,white-tailed deer,male,negative,36.50565435,128.8905893,18.9789,8.193289,100,0,3.68792,5.21316,6.096049,4199.015509,2189.601341,0,0.997302158,0,0.997302158,7476.536578,3753.818299,0.0048012,0.993848462,0,0.993848462,10955.68607,6135.957129,0.025044991,0.967156569,0,0.967156569,2.938534275,2.484230394,19.74621696,18.36994731
22889,Alberta,Hunter,14/01/2010,2010,8,454147.347,5914086.244,white-tailed deer,male,negative,80.40050387,145.318064,10.3121,45.821399,200,800,9.299889,9.82118,10.109,3557.397163,4983.079031,0.005709135,0.798377404,0.166067146,0.966646635,8246.040954,7750.665084,0.032988454,0.784525416,0.161841908,0.946618683,13637.96214,11423.55206,0.056284194,0.793149966,0.114617691,0.907741887,1.819846056,1.567285618,6.480770084,5.319970745
22892,Alberta,Hunter,30/11/2009,2009,8,534664,5933084,white-tailed deer,male,negative,8.699211918,100.7596757,4.993,15.3652,670.820007,300,3.559969,5.821199,9.7444,3531.615737,2207.017431,0.00569886,0.836832633,0.151542378,0.98980204,5765.011273,4867.921428,0.002848576,0.850674663,0.142492875,0.992653673,11316.67964,8080.072489,0.001424822,0.85151856,0.136881559,0.988226472,3.51110339,2.70847771,40.44142125,38.99908541
22893,Alberta,Hunter,01/11/2009,2009,8,534664,5933084,white-tailed deer,male,negative,8.699211918,100.7596757,4.993,15.3652,670.820007,300,3.559969,5.821199,9.7444,3531.615737,2207.017431,0.00569886,0.836832633,0.151542378,0.98980204,5765.011273,4867.921428,0.002848576,0.850674663,0.142492875,0.992653673,11316.67964,8080.072489,0.001424822,0.85151856,0.136881559,0.988226472,3.51110339,2.70847771,40.44142125,38.99908541
22894,Alberta,Hunter,28/11/2009,2009,8,534664,5933084,white-tailed deer,male,negative,8.699211918,100.7596757,4.993,15.3652,670.820007,300,3.559969,5.821199,9.7444,3531.615737,2207.017431,0.00569886,0.836832633,0.151542378,0.98980204,5765.011273,4867.921428,0.002848576,0.850674663,0.142492875,0.992653673,11316.67964,8080.072489,0.001424822,0.85151856,0.136881559,0.988226472,3.51110339,2.70847771,40.44142125,38.99908541
22897,Alberta,Hunter,24/11/2009,2009,8,534664,5933084,white-tailed deer,male,negative,8.699211918,100.7596757,4.993,15.3652,670.820007,300,3.559969,5.821199,9.7444,3531.615737,2207.017431,0.00569886,0.836832633,0.151542378,0.98980204,5765.011273,4867.921428,0.002848576,0.850674663,0.142492875,0.992653673,11316.67964,8080.072489,0.001424822,0.85151856,0.136881559,0.988226472,3.51110339,2.70847771,40.44142125,38.99908541
22899,Alberta,Hunter,28/11/2009,2009,8,541192.511,5777918.551,white-tailed deer,male,negative,41.11313752,99.18113147,22.9993,38.118198,806.226013,1204.160034,2.304749,3.11682,4.817969,0,672.145646,0.00059952,0.366306954,0.472280491,0.837529976,263.191746,4499.371902,0.042409711,0.335681103,0.381788179,0.71796793,4549.05423,7337.27679,0.0706094,0.333483247,0.379563685,0.711865677,2.494817056,2.137237055,5.60110978,4.051289374
22920,Alberta,Hunter,27/11/2009,2009,8,485501.578,5931718.142,white-tailed deer,male,negative,54.65827278,129.1669513,13.503299,24.298599,1019.799987,447.213989,4.606639,5.07452,6.33887,4026.261666,0,0.014379868,0.963151588,0,0.963151588,8139.961336,643.667998,0.07868705,0.897631894,0,0.897631894,12641.87296,1373.204452,0.116082134,0.862634892,0,0.862634892,1.722707995,1.427077205,4.95559563,3.662056437
