"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"684","MARAIS DES CYGNES RIVER BASIN","SC","SC697","3/18/15",1115,38.43938,-94.76829,10290102,4157.09936342593,2015,0.505
"685","MARAIS DES CYGNES RIVER BASIN","SC","SC697","6/16/15",1204,38.43938,-94.76829,10290102,4247.1333912037,2015,1.355
"686","MARAIS DES CYGNES RIVER BASIN","SC","SC697","9/15/15",1150,38.43938,-94.76829,10290102,4338.12366898148,2015,0.955
"687","MARAIS DES CYGNES RIVER BASIN","SC","SC697","12/8/15",1141,38.43938,-94.76829,10290102,4422.11741898148,2015,0.945
"688","WALNUT RIVER BASIN","SC","SC704","2/18/15",911,37.51954,-97.04868,11030018,4129.01325231481,2015,0.395
"689","WALNUT RIVER BASIN","SC","SC704","5/12/15",907,37.51954,-97.04868,11030018,4212.01047453704,2015,2.04
"690","WALNUT RIVER BASIN","SC","SC704","8/18/15",816,37.51954,-97.04868,11030018,4309.97505787037,2015,1.315
"691","WALNUT RIVER BASIN","SC","SC704","11/24/15",913,37.51954,-97.04868,11030018,4408.0146412037,2015,0.725
"692","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC709","7/20/15",1839,39.57194,-97.46929,10250017,4281.40769675926,2015,6.925
"693","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC710","4/14/15",911,39.49184,-97.27524,10250017,4184.01325231481,2015,1.075
"694","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC710","7/20/15",1808,39.49184,-97.27524,10250017,4281.38616898148,2015,4.585
"695","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC710","10/19/15",1626,39.49184,-97.27524,10250017,4372.31533564815,2015,0.685
