"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"529","UPPER ARKANSAS RIVER BASIN","SC","SC585","8/24/15",1518,38.18208,-99.18691,11030005,4316.26811342593,2015,1.685
"530","UPPER ARKANSAS RIVER BASIN","SC","SC587","2/23/15",1520,37.927983,-99.375375,11030004,4134.26950231481,2015,3.03
"531","UPPER ARKANSAS RIVER BASIN","SC","SC587","5/18/15",1505,37.927983,-99.375375,11030004,4218.25908564815,2015,2.09
"532","UPPER ARKANSAS RIVER BASIN","SC","SC587","8/24/15",1647,37.927983,-99.375375,11030004,4316.32991898148,2015,1.721
"533","UPPER ARKANSAS RIVER BASIN","SC","SC587","11/16/15",1533,37.927983,-99.375375,11030004,4400.27853009259,2015,2.105
"534","LOWER ARKANSAS RIVER BASIN","SC","SC588","2/23/15",1634,37.453939,-99.08385,11060003,4134.3208912037,2015,1.705
"535","LOWER ARKANSAS RIVER BASIN","SC","SC588","5/18/15",1618,37.453939,-99.08385,11060003,4218.30978009259,2015,1.845
"536","LOWER ARKANSAS RIVER BASIN","SC","SC588","8/24/15",1800,37.453939,-99.08385,11060003,4316.38061342593,2015,1.635
"537","LOWER ARKANSAS RIVER BASIN","SC","SC588","11/16/15",1650,37.453939,-99.08385,11060003,4400.33200231481,2015,1.965
"538","LOWER ARKANSAS RIVER BASIN","SC","SC591","2/24/15",1213,37.006,-98.844136,11060002,4135.1396412037,2015,0.355
"539","LOWER ARKANSAS RIVER BASIN","SC","SC591","2/24/15",1218,37.006,-98.844136,11060002,4135.14311342593,2015,0.465
"540","LOWER ARKANSAS RIVER BASIN","SC","SC591","5/19/15",1439,37.006,-98.844136,11060002,4219.24103009259,2015,0.525
"541","LOWER ARKANSAS RIVER BASIN","SC","SC591","8/25/15",1337,37.006,-98.844136,11060002,4317.19797453704,2015,0.905
"542","LOWER ARKANSAS RIVER BASIN","SC","SC591","11/17/15",1331,37.006,-98.844136,11060002,4401.19380787037,2015,0.595
"543","LOWER ARKANSAS RIVER BASIN","SC","SC591","11/17/15",1336,37.006,-98.844136,11060002,4401.19728009259,2015,0.535
"544","CIMARRON RIVER BASIN","SC","SC592","2/24/15",1018,37.02635,-99.48242,11040008,4135.05978009259,2015,0.355
"545","CIMARRON RIVER BASIN","SC","SC592","5/19/15",1150,37.02635,-99.48242,11040008,4219.12366898148,2015,1.175
"546","CIMARRON RIVER BASIN","SC","SC592","8/25/15",1130,37.02635,-99.48242,11040008,4317.10978009259,2015,0.605
"547","CIMARRON RIVER BASIN","SC","SC592","8/25/15",1135,37.02635,-99.48242,11040008,4317.11325231481,2015,0.605
"548","CIMARRON RIVER BASIN","SC","SC592","11/17/15",1109,37.02635,-99.48242,11040008,4401.09519675926,2015,0.525
"549","CIMARRON RIVER BASIN","SC","SC593","2/24/15",1025,37.03014,-99.47889,11040008,4135.0646412037,2015,0.385
