"","infected","total_population","infected_proportion","size_category","liner","ship","voyage_duration","start_date","end_date","start_year","end_year","start_month","end_month","start_season","end_season","Start_dest","End_dest","Start_lat","Start_long"
"34",332,5558,0.0597337171644476,"5","Royal Caribbean","Independence of the Seas",5,2017-12-11,2017-12-16,2017,2017,12,12,"4","4","Fort Lauderdale","Caribbean",26.1224,-80.1373
"35",176,4274,0.0411792232101076,"5","Celebrity Cruises","Celebrity Reflection",10,2017-11-17,2017-11-27,2017,2017,11,11,"4","4","Fort Lauderdale","Caribbean",26.1224,-80.1373
"36",196,4130,0.0474576271186441,"5","Princess Cruises","Crown Princess",14,2017-10-25,2017-11-08,2017,2017,10,11,"3","4","Quebec City","Fort Lauderdale",46.8139,-71.2082
"37",87,2933,0.0296624616433686,"4","Holland America Line","Noordam",7,2017-07-30,2017-08-06,2017,2017,7,8,"2","3","Vancouver","Seward",49.2827,-123.1207
"38",77,3079,0.0250081195193245,"4","Holland America Line","Nieuw Amsterdam",7,2017-07-22,2017-07-29,2017,2017,7,7,"2","2","Seward","Vancouver",60.1042,-149.4422
"39",173,2888,0.0599030470914127,"4","Holland America Line","Noordam",7,2017-07-23,2017-07-30,2017,2017,7,7,"2","2","Vancouver","Alaska",49.2827,-123.1207
"40",56,2093,0.0267558528428094,"3","Holland America Line","Volendam",7,2017-07-19,2017-07-26,2017,2017,7,7,"2","2","Vancouver","Alaska",49.2827,-123.1207
"41",69,2090,0.0330143540669856,"3","Holland America Line","Volendam",7,2017-07-12,2017-07-19,2017,2017,7,7,"2","2","Vancouver","Alaska",49.2827,-123.1207
"42",182,2897,0.062823610631688,"4","Princess Cruises","Coral Princess",10,2017-03-08,2017-03-18,2017,2017,3,3,"1","1","Fort Lauderdale","Fort Lauderdale",26.1224,-80.1373
"43",33,1366,0.0241581259150805,"2","Viking Ocean Cruises","Viking Star",21,2018-12-13,2019-01-03,2018,2019,12,1,"4","1","Fort Lauderdale","Fort Lauderdale",26.1224,-80.1373
"44",47,1285,0.0365758754863813,"2","Crystal Cruises","Crystal Symphony",24,2018-11-08,2018-12-02,2018,2018,11,12,"4","4","San Diego","Fort Lauderdale",32.7157,-117.1611
"45",77,1884,0.0408704883227176,"3","Holland America Line","Volendam",15,2018-11-03,2018-11-18,2018,2018,11,11,"4","4","Chicago","Toronto",41.8781,-87.6298
"46",6,265,0.0226415094339623,"1","V. Ships Leisure U.S.A.","Pearl Mist",11,2018-09-01,2018-09-12,2018,2018,9,9,"3","3","Seward AK","Vancouver BC",60.1042,-149.4422
"47",38,1109,0.0342651036970243,"2","Regent Seven Seas Cruises","Seven Seas Mariner",10,2018-06-20,2018-06-30,2018,2018,6,6,"2","2","Seattle WA","Alaska",47.6062,-122.3321
"48",113,2063,0.0547746000969462,"3","Holland America Line","Zaandam",14,2018-06-18,2018-07-02,2018,2018,6,7,"2","2","Tokyo","Seward AK",35.6895,139.6917
"49",36,617,0.0583468395461912,"1","Silversea Cruises","Silver Shadow",14,2018-05-10,2018-05-24,2018,2018,5,5,"2","2","San Diego","Fort Lauderdale",32.7157,-117.1611
"50",118,3110,0.0379421221864952,"4","Celebrity Cruises","Celebrity Infinity",15,2018-04-17,2018-05-02,2018,2018,4,5,"1","2","Valparaiso-Santiago","Fort Lauderdale",-33.0472,-71.6127
"51",90,2866,0.0314026517794836,"4","Cunard Line","Queen Victoria",16,2018-02-21,2018-03-09,2018,2018,2,3,"1","1","Puntarenas Costa Rica","San Diego",9.9765,-84.8384
"52",22,1121,0.0196253345227475,"2","Azamara Club Cruises","Azamara Quest",14,2018-01-25,2018-02-08,2018,2018,1,2,"1","1","Los Angeles","Fort Lauderdale",33.7405,-118.2786
"53",78,3079,0.0253329002923027,"4","Princess Cruises","Island Princess",15,2018-01-09,2018-01-24,2018,2018,1,1,"1","1","Miami","Los Angeles",25.7617,-80.1918
"54",133,5371,0.0247626140383541,"5","Norwegian Cruise Line","Norwegian Joy",16,2019-11-08,2019-11-24,2019,2019,11,11,"4","4","Montreal","NYC",45.5017,-73.5673
"55",93,2861,0.0325061167423978,"4","Aida Cruises","AIDAdiva",10,2019-10-03,2019-10-13,2019,2019,10,10,"3","3","NYC","Caribbean",40.7128,-74.006
"56",95,2778,0.0341972642188625,"4","Aida Cruises","AIDAluna",14,2019-09-28,2019-10-12,2019,2019,9,10,"3","3","Miami","Caribbean",25.7617,-80.1918
"57",125,2665,0.0469043151969981,"4","Aida Cruises","AIDAdiva",18,2019-09-05,2019-09-23,2019,2019,9,9,"3","3","Rostock","NYC",54.0924,12.0991
"58",52,4399,0.0118208683791771,"5","Carnival Cruise Line","Conquest",7,2019-09-07,2019-09-14,2019,2019,9,9,"3","3","Callao-Lima","NYC",-12.056,-77.1183
"59",40,1829,0.0218698742482231,"3","Oceania Cruises","Oceania Marina",18,2019-03-18,2019-04-05,2019,2019,3,4,"1","1","Fort Lauderdale","Panama Canal",26.1224,-80.1373
"60",110,3098,0.0355067785668173,"4","Princess Cruises","Island Princess",10,2019-02-08,2019-02-18,2019,2019,2,2,"1","1","Miami","Cuba",25.7617,-80.1918
"61",37,1365,0.0271062271062271,"2","Viking Ocean Cruises","Viking Star",7,2019-02-07,2019-02-14,2019,2019,2,2,"1","1","San Juan Puerto Rico","Caribbean",18.4655,-66.1057
"62",38,1380,0.027536231884058,"2","Viking Ocean Cruises","Viking Sea",10,2019-01-18,2019-01-28,2019,2019,1,1,"1","1","Port Canaveral","Caribbean",28.3922,-80.6188
"63",592,8454,0.0700260231842915,"5","Royal Caribbean International","Oasis of the Seas",7,2019-01-06,2019-01-13,2019,2019,1,1,"1","1","Los Angeles","Miami",33.7405,-118.2786
