"","a","b","phi"
"1",-3.12463175606632,0.00900406487366386,71.8481885641781
"2",-3.14780978913384,0.00592841615579904,80.8392660093865
"3",-3.14347723338071,0.0063582049424427,89.220107624908
"4",-3.18149306979124,0.00645567028110052,89.0546226431927
"5",-3.19462416146901,0.0125695832725792,80.840838872723
"6",-3.15860512012803,0.0087471612578855,77.9790925301418
"7",-3.14122977761589,0.0105937104180544,80.0722925572363
"8",-3.10281903441297,0.00419171177928914,78.9468414953959
"9",-3.12951455570314,0.00821133249414514,119.975641782953
"10",-3.12007611533084,0.00351594591702699,102.375139753961
"11",-3.10980779042942,0.00870115823974152,91.9181422984359
"12",-3.18076053504897,0.013175421347404,81.3072072088151
"13",-3.28215651216479,0.0208015842926296,70.6566726894762
"14",-3.2166221369749,0.0190776055195908,77.4506662214357
"15",-3.16810297007342,0.0162764547386796,77.6607515651258
"16",-3.39466532700686,0.0258571825374114,91.4232209784459
"17",-3.39216227857243,0.0379328707863177,96.9848693181029
"18",-3.53863207678184,0.0389407279282496,99.3491890981994
"19",-3.52823864087387,0.0341271979173616,99.7486619326777
"20",-3.49480620654774,0.0274343403843695,96.9768218518581
"21",-3.27487494592755,0.0103565038786033,87.5278215816468
"22",-3.10195011487111,0.0032284605924599,81.3702176413258
"23",-3.12036198166102,0.00165717883074579,97.2081535637946
"24",-3.18223493741123,0.0124070131305129,83.421667459335
"25",-3.2010743511536,0.0171439443178569,106.02053966554
"26",-3.19018497709296,0.0175329380677214,104.105454533395
"27",-3.23583846840634,0.0112231839823345,86.767765704473
"28",-3.11825678758077,0.00985366316874054,92.1632729918675
"29",-3.13205136885397,0.00517926257039791,84.7955673655985
"30",-3.11040545062808,0.00950754045912259,101.301391327191
"31",-3.24788746023304,0.00972754661929835,93.5780102852097
"32",-3.09826901232823,0.0110052103081001,90.7160392101234
"33",-3.10097598450164,0.00660789723074346,76.8106273468671
"34",-3.16255188889031,0.0127411953985715,110.900208491297
"35",-3.2841872888894,0.0147755641373613,103.183715902998
"36",-3.25526410112524,0.0232362484636088,101.579193942182
"37",-3.35144159232917,0.0210483916744788,104.365715879478
"38",-3.28070692511697,0.0145304493608565,103.497212049326
"39",-3.29502822769309,0.023228264439464,80.4675658051997
"40",-3.24517400256307,0.0192306344055556,76.3102724506648
"41",-3.26536285927985,0.0211519798433648,82.8972377473699
"42",-3.27383720900937,0.0180652931459146,84.2542834804423
"43",-3.26819138081884,0.0108367119450883,108.738271684181
"44",-3.26821177214623,0.0215639289978973,93.5551130054274
"45",-3.26864569890296,0.0169695684116857,84.7018507093379
"46",-3.26200090432703,0.0167689311014962,76.6974748690329
"47",-3.26781967206297,0.0199953059149978,71.8812541368146
"48",-3.19715729690925,0.0225735647381541,59.1992367482638
"49",-3.31445840588563,0.0235372473230761,69.655618968883
"50",-3.31937600354118,0.0255307682914072,98.3355825205483
"51",-3.38082740716331,0.0269793703359862,88.5413971112043
"52",-3.37204587875424,0.0241610486840476,103.093662895223
"53",-3.38394444183965,0.0290834733245181,98.3052402628747
"54",-3.39638565524555,0.0295094271516997,88.0562492746535
"55",-3.37245536268344,0.0290310969153709,76.1805601625807
"56",-3.33867295588017,0.0191442825319396,102.503854287198
"57",-3.29999994461952,0.0163599842876459,104.317771142879
"58",-3.19018240268874,0.0186265554051096,109.339428422561
"59",-3.31938108212822,0.0266718657801185,83.6624073007683
"60",-3.4429805248545,0.0344306110368672,109.741436571473
"61",-3.45056737850202,0.0274826842786961,85.4518733551602
"62",-3.30079357692546,0.011174238901514,100.597908565785
"63",-3.22635376991932,0.0188995320458676,87.3231978782245
"64",-3.20653723714736,0.0180480023800909,72.9185557673535
"65",-3.31649835606753,0.0209426007584074,89.3249498835958
"66",-3.26337953538828,0.017047440328864,109.481641492014
"67",-3.16212138410698,0.00898707579629064,81.2429696886575
"68",-3.08638961459778,0.0081764182895471,54.3835337356052
"69",-3.16969090380008,0.0233493917837508,57.13940866485
"70",-3.35545958573206,0.0374807734161288,61.9487554164592
"71",-3.31256748316303,0.0304228318133419,54.3472797338207
"72",-3.37901770689271,0.029567200820775,52.1046730559042
"73",-3.36319055577046,0.0209923898008829,73.6375516995014
"74",-3.3563699185476,0.0286669305039732,75.1084231656188
"75",-3.32949437736662,0.033148481618198,75.8803092146991
"76",-3.34657201088107,0.0174144022635085,81.2642001991801
"77",-3.43462804841269,0.020303370078747,122.823089328102
"78",-3.26494648146191,0.0202487068634486,123.017318367543
"79",-3.20465238549715,0.0166541394870228,87.1867242133128
"80",-3.26180296391042,0.0147180761089265,92.3007920465761
"81",-3.27911104459606,0.0101534321311233,70.6532370908524
"82",-3.09203309200218,0.00552339599692624,121.495170433607
"83",-3.08063597335268,0.00747663797010172,61.9533165439571
"84",-3.10262087927122,0.00870500690457779,60.9529921446376
"85",-3.07843298263861,0.00888558641632692,79.0951556053176
"86",-3.14829914956633,0.0100988795572598,71.8769305630427
"87",-3.1976953835329,0.0115911332684538,92.0108542212839
"88",-3.15679554750407,0.00203235410123507,89.1651004486626
"89",-3.17648015999194,0.00113535057469004,99.861170161737
"90",-3.08286264991338,0.00267238564502875,124.770830466979
"91",-3.0353698279217,-0.00158061981498342,96.0278398844576
"92",-3.06665726857999,0.00296376946600009,78.8738586639365
"93",-3.14695905521845,0.0117410905940479,89.6563979009081
"94",-3.09522943696991,0.0110619708810713,115.256676793775
"95",-3.17501636766737,0.00947498662068404,66.1992737209079
"96",-3.13802913896199,0.00749088848119057,88.7301306109797
"97",-3.08983559264416,-0.000301657678774022,76.5507477530173
"98",-3.04652272726865,0.00627181407385765,73.2885784765573
"99",-3.03892602543392,0.00698666843463835,88.1951067863659
"100",-3.00691812000949,-0.00912326180051112,62.8741887456898
"101",-2.90458099391881,-0.0182355127598534,81.1466658433962
"102",-2.8503836493711,-0.0132705701565824,82.9727709943343
"103",-2.9444244841268,-0.0132947224816909,73.0616894796057
"104",-2.84784630483202,-0.0114223202085621,102.534498899646
"105",-2.91879506158074,-0.00846241342270315,84.7917148009939
"106",-2.95765253348619,-0.0112112088611185,90.9483081341254
"107",-2.95964718896716,-0.0137539160072708,108.975795755861
"108",-2.95951463554447,-0.0159550623879421,99.6800715595439
"109",-2.9405764019755,-0.0102754359812999,79.734307120999
"110",-2.94328253985787,-0.00885210982133016,78.3347850076135
"111",-3.14319278180721,0.0016911868322069,92.5566697711077
"112",-3.13445971239748,0.00247424211023607,105.066855606433
"113",-3.00464187333492,0.00372061201741082,83.7908464525786
"114",-3.01455960096729,-0.000407670650921305,73.7802337000203
"115",-2.99077090106613,0.00401877480826946,77.2222771257248
"116",-3.02018647258026,-0.006437361201464,73.6123673900404
"117",-3.02511531744764,-0.000684162154067657,97.9164853782578
"118",-3.09696012877373,0.000988144783776011,103.616069436958
"119",-3.04169664053489,0.00262552858919045,78.9237213396735
"120",-3.08825583360574,0.00741534525506839,94.9092400169834
"121",-3.0789398944259,-0.00697455420163899,103.668499828801
"122",-2.99071941297717,-0.0032502227134096,99.7102804774571
"123",-3.03318676731862,0.00617514808689856,96.5635342296452
"124",-3.135374883255,0.0117963642030365,100.251382229007
"125",-3.18265962838908,0.0100385386618591,94.8388141494703
"126",-3.19579152152262,0.0137696610581897,85.4021578227031
"127",-3.1871815486474,0.0175340438056252,86.2426998498297
"128",-3.20928285987925,0.0168815927216227,73.9942806336929
"129",-3.15887829196717,0.00762478816530302,86.6194360942942
"130",-3.13367881042488,0.000908978642786765,87.5992718445639
"131",-3.10960257378843,0.0102393136391674,96.6987518214705
"132",-3.22846729071192,0.0120382185467001,100.873811530795
"133",-3.18030533616944,0.00841461782524893,82.4111549674597
"134",-3.15569894903511,0.0103868951929527,102.902254982283
"135",-3.17031614261221,0.00873855549695198,95.981835656521
"136",-3.1358385601233,0.00375554642947958,107.607476626274
"137",-3.11612831356822,0.00626682550848872,83.6095929274189
"138",-3.15003210443767,0.0080546536802897,100.649240805086
"139",-3.2198799435837,0.0135331734827901,85.5812913017734
"140",-3.21429296829291,0.0040196968491648,87.1547367160066
"141",-3.12508737311705,0.0070011402940356,103.197994361683
"142",-3.05371258055571,0.00190368248187461,74.4566296149486
"143",-3.05245062948145,0.00319809846990432,106.94716327953
"144",-3.12452579390505,0.00859150843876905,69.3012051642874
"145",-3.185807611128,0.00482723926449224,97.8561395957022
"146",-3.09920187837093,0.00578693678887264,88.1336155972201
"147",-3.17047089344723,0.00537662923584749,86.4081049417732
"148",-3.16297284462491,0.00613677118473595,82.9984632800277
"149",-3.23255964792469,0.0176338137765004,95.9546195499219
"150",-3.24339784466882,0.0163946834851838,72.29623550568
"151",-3.24494267831284,0.0156355215532043,72.6779532369704
"152",-3.24404503300178,0.0127605811483249,68.3775023835734
"153",-3.27308945521014,0.0187354163875821,80.0631244203003
"154",-3.31185325564042,0.0201228533572224,99.3036988496047
"155",-3.2902098521488,0.0217613908212964,86.5047089493305
"156",-3.31550668059239,0.019222181527002,89.6247928359697
"157",-3.27458374349747,0.0280307350645192,85.2849363521009
"158",-3.32874879357314,0.0237177372011925,79.6538479941966
"159",-3.18702601706186,0.00508960389894477,75.9182493989736
"160",-2.95815551800824,-0.00273234462248296,71.7060629294007
"161",-3.02343635410037,0.00308291724384314,85.8141858120584
"162",-3.00933361653259,-0.00187169488007347,73.2355898683625
"163",-2.98543014167694,-0.00369307755709014,85.6557284091127
"164",-3.00417194661821,-0.00360027052259991,98.4568728823381
"165",-3.09953782103881,-0.0022452835010551,96.694239796609
"166",-3.01464937016244,-0.00310469475222636,75.2473702269977
"167",-3.0066770263385,0.00828434095692967,76.4802651058265
"168",-3.19626861984586,0.000883295366425415,103.004841488831
"169",-3.17139551318511,0.000417649886681238,75.4759752199099
"170",-3.05026267879978,0.00321773140436088,76.1232271267041
"171",-3.09586858977527,0.00370428959621491,101.829484772378
"172",-3.14569310122028,0.00802576170602018,82.1459962668374
"173",-3.09558515082654,-0.000342805415261854,65.7002517407294
"174",-3.0639914611976,0.00212892442325323,105.430831893784
"175",-3.06839214029555,0.00317134359423775,69.786136008587
