Scat,Site,Season,Year,Pack,Lat,Long,Bird,Carnivore,Domestic_cattle,Insect,Leporid,Other,Plant_matter,Reptile,Seeds_berries,Sciurid,Small_mammal,Trash,Ungulate,Ungulate_spp,Ungulate_age
320,MV,Summer,2018,Out,48.42307,-119.927,0,38,0,1,0,0,6,0,0,0,30,0,25,Deer,Y
345,MV,Summer,2018,Out,48.49854,-120.1421,0,0,0,2,0,0,63,22,0,0,13,0,0,NONE,NONE
362,MV,Summer,2018,Out,48.41467,-119.932,0,0,0,8,68,0,18,0,6,0,0,0,0,NONE,NONE
384,MV,Summer,2018,Out,48.40871,-119.91568,0,0,0,2,2,0,22,0,74,0,0,0,0,NONE,NONE
413,MV,Summer,2018,Out,48.6408,-120.27977,0,0,0,0,0,0,4,0,0,0,8,0,88,Deer,Y
451,MV,Summer,2018,Out,48.41627,-119.90345,0,0,0,7,0,0,66,0,0,0,27,0,0,NONE,NONE
455,MV,Summer,2018,Out,48.68653,-120.24,0,0,0,0,0,0,60,0,0,0,0,0,40,Moose,A
458,MV,Summer,2018,Out,48.5328,-120.12478,2,8,0,0,0,0,40,0,50,0,0,0,0,NONE,NONE
460,MV,Summer,2018,Out,48.41356,-119.91998,0,0,0,0,2,0,2,0,0,48,48,0,0,NONE,NONE
466,MV,Summer,2018,Out,48.3634,-119.91682,0,7,0,2,0,0,14,0,9,0,68,0,0,NONE,NONE
467,MV,Summer,2018,Out,48.36538,-119.916,1,0,0,2,0,0,19,0,0,0,78,0,0,NONE,NONE
469,MV,Summer,2018,Out,48.3586,-119.9026,4,0,0,0,0,0,8,0,4,0,84,0,0,NONE,NONE
470,MV,Summer,2018,Out,48.39634,-120.04515,0,0,0,0,0,0,7,0,80,0,13,0,0,NONE,NONE
472,MV,Summer,2018,Out,48.37667,-119.912,0,0,0,4,0,0,22,0,0,0,23,0,51,Deer,Y
473,MV,Summer,2018,Out,48.59102,-120.09863,0,0,0,0,0,0,10,0,60,0,0,0,30,Deer,Y
475,MV,Summer,2018,Out,48.41241,-119.9183,0,0,0,0,0,0,40,0,60,0,0,0,0,NONE,NONE
476,MV,Summer,2018,Out,48.49276,-120.12148,0,0,0,0,0,0,45,0,45,0,10,0,0,NONE,NONE
477,MV,Summer,2018,Out,48.4831,-120.12274,0,0,0,0,0,0,5,0,35,0,60,0,0,NONE,NONE
478,MV,Summer,2018,Out,48.40995,-119.94977,0,0,0,0,0,0,26,0,19,0,55,0,0,NONE,NONE
480,MV,Summer,2018,Out,48.48143,-120.103,0,0,0,1,0,0,15,0,1,0,0,0,83,Deer,Y
481,MV,Summer,2018,Out,48.40033,-120.04235,0,0,0,0,0,0,5,0,95,0,0,0,0,NONE,NONE
483,MV,Summer,2018,Out,48.66662,-120.29501,0,0,0,2,0,0,14,0,0,12,62,0,10,Deer,Y
484,MV,Summer,2018,Out,48.40052,-120.0421,3,0,0,0,0,0,7,0,90,0,0,0,0,NONE,NONE
485,MV,Summer,2018,Out,48.48747,-120.12272,2,0,0,0,0,0,4,0,91,0,0,0,3,Deer,Y
486,MV,Summer,2018,Out,48.36908,-119.93198,0,0,0,0,0,0,30,0,70,0,0,0,0,NONE,NONE
489,MV,Summer,2018,Out,48.40674,-119.93811,0,0,0,0,60,0,23,5,2,7,3,0,0,NONE,NONE
490,MV,Summer,2018,Out,48.42619,-119.8429,0,0,0,0,0,0,22,0,40,0,38,0,0,NONE,NONE
493,MV,Summer,2018,Out,48.41106,-119.85374,0,0,0,7,0,0,13,0,47,0,33,0,0,NONE,NONE
494,MV,Summer,2018,Out,48.41159,-119.851,0,0,0,8,0,0,17,0,45,0,30,0,0,NONE,NONE
495,MV,Summer,2018,Out,48.42321,-119.84203,0,0,0,0,0,0,17,0,18,0,65,0,0,NONE,NONE
496,MV,Summer,2018,Out,48.39755,-120.04478,0,0,0,2,0,0,10,2,30,0,56,0,0,NONE,NONE
497,MV,Summer,2018,Out,48.36888,-119.93239,0,0,0,0,0,0,3,0,0,0,5,0,92,Deer,A
498,MV,Summer,2018,Out,48.41291,-119.95219,0,0,0,0,0,0,30,0,70,0,0,0,0,NONE,NONE
499,MV,Summer,2018,Out,48.42171,-119.90107,0,0,0,11,0,0,44,0,45,0,0,0,0,NONE,NONE
500,MV,Summer,2018,Out,48.40865,-119.945,0,0,0,0,0,0,12,0,86,0,0,0,2,Deer,Y
501,MV,Summer,2018,Out,48.41857,-119.9,0,15,0,0,0,0,20,0,20,0,45,0,0,NONE,NONE
502,MV,Summer,2018,Out,48.42187,-119.9,0,0,0,0,0,0,6,0,90,0,0,0,4,Deer,A
503,MV,Summer,2018,Out,48.42989,-119.85519,0,0,0,0,0,0,5,0,0,10,85,0,0,NONE,NONE
504,MV,Summer,2018,Out,48.40367,-119.925,0,0,0,0,0,0,9,0,89,0,0,0,2,Deer,A
506,MV,Summer,2018,Out,48.43596,-119.90694,0,0,0,0,77,0,16,0,1,0,6,0,0,NONE,NONE
507,MV,Summer,2018,Out,48.4092,-119.928,0,0,0,0,0,0,7,0,86,0,7,0,0,NONE,NONE
509,MV,Summer,2018,Out,48.41925,-119.919,0,0,0,0,0,0,8,0,88,0,2,0,2,Deer,Y
510,MV,Summer,2018,Out,48.41925,-119.919,5,1,0,0,0,0,30,0,24,0,40,0,0,NONE,NONE
512,MV,Summer,2018,Out,48.44348,-120.05887,0,0,0,0,0,0,3,0,92,0,5,0,0,NONE,NONE
513,MV,Summer,2018,Out,48.42962,-119.91975,0,0,0,0,0,0,50,0,50,0,0,0,0,NONE,NONE
514,MV,Summer,2018,Out,48.60918,-120.2335,0,0,0,0,0,0,10,0,60,0,30,0,0,NONE,NONE
516,MV,Summer,2018,In,48.68554,-119.989,0,0,0,0,0,0,60,0,0,0,0,0,40,Deer,A
518,MV,Summer,2018,Out,48.463,-120.098581,0,0,0,2,0,0,2,0,48,0,48,0,0,NONE,NONE
519,MV,Summer,2018,Out,48.43534,-119.91254,0,0,0,3,82,0,13,0,2,0,0,0,0,NONE,NONE
520,MV,Summer,2018,Out,48.44785,-120.06438,0,0,0,0,0,0,17,0,83,0,0,0,0,NONE,NONE
521,MV,Summer,2018,In,48.68548,-119.98935,0,0,0,0,0,0,4,0,0,1,95,0,0,NONE,NONE
522,MV,Summer,2018,Out,48.49919,-120.09772,0,0,0,0,0,0,15,0,85,0,0,0,0,NONE,NONE
523,MV,Summer,2018,Out,48.59928,-120.27908,0,0,0,2,0,0,5,0,85,0,8,0,0,NONE,NONE
524,MV,Summer,2018,Out,48.5977,-120.2806,0,0,0,0,0,0,5,0,95,0,0,0,0,NONE,NONE
525,MV,Summer,2018,Out,48.48584,-120.13676,0,0,0,0,0,0,12,0,88,0,0,0,0,NONE,NONE
526,MV,Summer,2018,Out,48.41824,-119.89967,0,0,0,0,0,0,10,0,90,0,0,0,0,NONE,NONE
527,MV,Summer,2018,Out,48.42778,-119.90159,5,0,0,0,25,0,45,0,5,0,20,0,0,NONE,NONE
528,MV,Summer,2018,Out,48.58022,-120.23289,0,0,0,0,0,0,13,0,87,0,0,0,0,NONE,NONE
529,MV,Summer,2018,Out,48.58451,-120.27074,0,0,0,2,14,0,5,0,0,2,77,0,0,NONE,NONE
