Scat,Site,Season,Year,Pack,Lat,Long,Bird,Carnivore,Domestic_cattle,Insect,Leporid,Other,Plant_matter,Reptile,Seeds_berries,Sciurid,Small_mammal,Trash,Ungulate,Ungulate_spp,Ungulate_age
670,NE,Winter,2019,In,48.46742,-117.752,0,0,0,0,0,0,0,0,0,0,0,0,100,Elk,A
672,NE,Winter,2019,In,48.46086,-117.727,0,0,0,0,0,0,1,0,0,0,99,0,0,NONE,NONE
673,NE,Winter,2019,In,48.4609,-117.727,0,0,0,0,0,0,2,0,0,0,98,0,0,NONE,NONE
677,NE,Winter,2019,Out,48.10423,-117.322,0,0,3,0,0,0,85,0,0,0,12,0,0,NONE,NONE
687,NE,Winter,2019,In,48.45236,-117.711,0,0,0,0,0,0,0,0,0,0,100,0,0,NONE,NONE
689,NE,Winter,2019,In,48.45236,-117.711,0,0,0,0,80,0,0,0,0,0,20,0,0,NONE,NONE
690,NE,Winter,2019,In,48.45264,-117.71,0,0,0,0,0,0,0,0,0,0,67,0,33,Deer,A
692,NE,Winter,2019,In,48.45248,-117.705,0,0,0,0,0,0,4,0,0,0,70,0,26,Deer,A
191,NE,Summer,2018,In,48.39433,-118.014,0,0,0,0,0,0,28,0,50,0,22,0,0,NONE,NONE
193,NE,Summer,2018,In,48.39433,-118.014,0,0,0,1,0,0,37,0,0,0,0,0,62,Elk,Y
197,NE,Summer,2018,In,48.39494,-118.014,0,0,0,0,0,0,17,9,0,0,44,0,30,Elk,A
205,NE,Summer,2018,Out,48.35752,-117.89475,5,0,0,20,0,0,75,0,0,0,0,0,0,NONE,NONE
217,NE,Summer,2018,Out,48.35661,-117.894,0,0,0,0,0,1,98,0,0,0,0,0,1,Ind,Y
218,NE,Summer,2018,Out,48.39231,-117.9357,0,0,0,0,0,0,4,0,0,0,6,0,90,Ind,Y
220,NE,Summer,2018,In,48.44766,-118.04013,0,0,0,0,72,0,12,0,15,0,1,0,0,NONE,NONE
238,NE,Summer,2018,Out,48.23828,-117.92626,0,0,0,0,0,0,30,0,0,0,0,0,70,Ind,Y
239,NE,Summer,2018,In,48.46261,-118.03502,0,0,0,6,69,0,25,0,0,0,0,0,0,NONE,NONE
241,NE,Summer,2018,Out,48.40063,-117.84418,0,0,0,0,0,0,7,0,0,0,0,0,93,Elk,Y
254,NE,Summer,2018,In,48.47124,-117.57447,0,0,0,0,0,0,0,0,100,0,0,0,0,NONE,NONE
260,NE,Summer,2018,In,48.3276,-117.616,0,0,0,0,0,0,20,0,0,0,0,0,80,Deer,A
261,NE,Summer,2018,In,48.45973,-117.35058,0,63,0,0,0,0,9,0,6,20,2,0,0,NONE,NONE
